employee_id,name,age,department,gender,salary,joining_year,performance_score,city
6119,Employee_5118,27.0,HR,F,96764.0,2019,9.2,Chennai
9932,Employee_8931,26.0,HR,MALE,40795.0,2017,9.7,Bangalore
9516,Employee_8515,52.0,Sales,FEMALE,146305.0,2021,6.3,Pune
8283,Employee_7282,55.0,Operations,M,65754.0,2019,7.0,Chennai
8624,Employee_7623,38.0,Finance,FEMALE,120972.0,2018,6.6,Delhi
7030,Employee_6029,39.0,Finance,female,133501.0,2020,6.1,Kolkata
4330,Employee_3329,47.0,Marketing,M,81696.0,2019,6.0,Mumbai
9935,Employee_8934,27.0,Finance,FEMALE,71999.0,2022,7.3,
4880,Employee_3879,36.0,IT,Female,34163.0,2017,9.9,Chennai
4782,Employee_3781,33.0,Operations,Male,122222.0,2023,6.7,Bangalore
2670,Employee_1669,31.0,Sales,Male,58794.0,2020,9.9,Pune
3109,Employee_2108,43.0,Marketing,female,88247.0,2007,9.6,Delhi
4038,Employee_3037,33.0,Sales,Male,,2015,5.4,Hyderabad
10626,Employee_9625,42.0,Sales,female,114006.0,2015,9.8,Pune
4541,Employee_3540,36.0,Finance,F,107271.0,2008,6.0,Bangalore
9963,Employee_8962,51.0,Finance,F,100164.0,2017,7.1,Pune
6390,Employee_5389,40.0,Operations,female,99711.0,2020,5.6,Pune
10297,Employee_9296,49.0,Marketing,Male,132952.0,2012,6.8,Kolkata
2278,Employee_1277,44.0,Sales,Female,126212.0,2020,7.7,Bangalore
4530,Employee_3529,38.0,HR,MALE,114475.0,2020,9.3,
2881,Employee_1880,45.0,Finance,F,138128.0,2020,7.6,Chennai
10570,Employee_9569,37.0,IT,M,67206.0,2012,7.6,Mumbai
4060,Employee_3059,54.0,Finance,Female,69840.0,2016,8.4,Delhi
2958,Employee_1957,28.0,Marketing,male,39605.0,2011,7.7,Kolkata
2195,Employee_1194,33.0,Operations,Female,45362.0,2011,9.6,Bangalore
5640,Employee_4639,49.0,IT,Male,72861.0,2015,6.5,Kolkata
7876,Employee_6875,44.0,Finance,Female,47958.0,2010,6.4,Hyderabad
6975,Employee_5974,38.0,Operations,Male,135317.0,2019,6.7,Bangalore
4185,Employee_3184,31.0,Operations,F,140907.0,2013,7.4,Chennai
4786,Employee_3785,22.0,Finance,female,,2019,9.7,Kolkata
10955,Employee_9954,34.0,HR,Male,41944.0,2015,5.8,Pune
3927,Employee_2926,38.0,Finance,MALE,43225.0,2005,6.9,Pune
7081,Employee_6080,27.0,HR,Female,37591.0,2019,9.8,Hyderabad
2524,Employee_1523,56.0,Operations,male,133663.0,2019,7.1,Pune
7430,Employee_6429,35.0,Operations,M,34888.0,2017,6.3,Bangalore
1926,Employee_925,54.0,Finance,M,88694.0,2014,8.1,Hyderabad
8977,Employee_7976,48.0,HR,F,73250.0,2023,9.0,Chennai
2069,Employee_1068,47.0,Finance,Male,90282.0,2008,9.7,Bangalore
6467,Employee_5466,23.0,Operations,Female,141902.0,2013,9.2,Pune
2579,Employee_1578,22.0,HR,Female,113816.0,2008,6.3,Mumbai
5903,Employee_4902,55.0,Operations,male,146632.0,2014,5.3,Mumbai
10988,Employee_9987,44.0,Sales,Female,49944.0,2005,9.5,Chennai
9171,Employee_8170,34.0,IT,MALE,43223.0,2011,6.9,Kolkata
3630,Employee_2629,39.0,Marketing,Female,117526.0,2006,6.6,Pune
6318,Employee_5317,30.0,Sales,male,76557.0,2018,5.2,Hyderabad
2079,Employee_1078,26.0,IT,MALE,64833.0,2014,7.2,Pune
6118,Employee_5117,49.0,IT,M,40624.0,2018,6.7,Mumbai
1711,Employee_710,34.0,Finance,male,69761.0,2011,8.7,Mumbai
5140,Employee_4139,53.0,Marketing,Male,109874.0,2009,9.8,Kolkata
3110,Employee_2109,46.0,Operations,M,88975.0,2013,8.5,Pune
10925,Employee_9924,37.0,HR,Female,59336.0,2018,8.0,
1544,Employee_543,57.0,Marketing,male,47701.0,2020,7.3,Bangalore
1036,Employee_35,47.0,HR,Male,98447.0,2023,6.4,Pune
9920,Employee_8919,52.0,Marketing,F,90333.0,2013,8.2,Kolkata
10199,Employee_9198,38.0,Sales,Male,102053.0,2016,6.8,Mumbai
7640,Employee_6639,56.0,Marketing,female,127162.0,2011,9.8,Bangalore
9077,Employee_8076,25.0,HR,Male,31085.0,2013,7.7,Delhi
3458,Employee_2457,22.0,Operations,FEMALE,118901.0,2005,8.4,Bangalore
2374,Employee_1373,56.0,Operations,FEMALE,86812.0,2011,9.5,Mumbai
1034,Employee_33,35.0,IT,FEMALE,38302.0,2020,6.6,Kolkata
1319,Employee_318,54.0,HR,F,124859.0,2015,9.5,Chennai
6004,Employee_5003,28.0,Operations,Male,,2011,5.4,Kolkata
6670,Employee_5669,43.0,Sales,Female,30372.0,2018,6.2,Kolkata
8727,Employee_7726,53.0,Sales,female,63208.0,2020,6.8,Delhi
3681,Employee_2680,36.0,Finance,F,39157.0,2020,9.6,Mumbai
5922,Employee_4921,34.0,HR,M,130475.0,2013,5.9,Hyderabad
3068,Employee_2067,42.0,HR,Male,72981.0,2015,9.2,Bangalore
4101,Employee_3100,22.0,Finance,male,125987.0,2011,6.0,Delhi
4835,Employee_3834,26.0,HR,MALE,97762.0,2012,7.2,Kolkata
6787,Employee_5786,52.0,Sales,female,112941.0,2019,9.3,Mumbai
8919,Employee_7918,22.0,Finance,MALE,32590.0,2015,7.9,Pune
10346,Employee_9345,33.0,Sales,Male,51058.0,2022,5.9,Hyderabad
10894,Employee_9893,47.0,HR,MALE,145982.0,2011,6.6,Delhi
6639,Employee_5638,38.0,Operations,FEMALE,60682.0,2005,7.5,Chennai
6994,Employee_5993,39.0,Finance,M,39185.0,2011,5.9,Delhi
1425,Employee_424,56.0,Marketing,male,93089.0,2021,6.2,Hyderabad
9741,Employee_8740,30.0,HR,F,116858.0,2019,9.5,Chennai
3593,Employee_2592,54.0,HR,MALE,127383.0,2010,8.0,Chennai
6959,Employee_5958,27.0,IT,Female,96937.0,2006,8.5,Chennai
9082,Employee_8081,52.0,Sales,Female,47622.0,2022,8.5,Bangalore
9656,Employee_8655,24.0,Marketing,M,44959.0,2019,8.5,Chennai
4795,Employee_3794,46.0,IT,FEMALE,129128.0,2007,6.9,Delhi
5930,Employee_4929,53.0,HR,Female,141391.0,2006,7.4,Delhi
7396,Employee_6395,49.0,Sales,FEMALE,107042.0,2022,9.4,Hyderabad
2684,Employee_1683,26.0,Operations,M,39329.0,2013,8.4,Bangalore
3877,Employee_2876,29.0,Finance,FEMALE,80734.0,2018,5.2,Bangalore
9919,Employee_8918,33.0,Marketing,female,79217.0,2022,8.2,Kolkata
6573,Employee_5572,41.0,IT,F,142613.0,2022,9.7,Chennai
1347,Employee_346,43.0,Marketing,Female,33837.0,2023,7.8,Chennai
4449,Employee_3448,55.0,Sales,Female,31237.0,2013,5.4,Hyderabad
6012,Employee_5011,47.0,Marketing,M,86414.0,2017,7.7,Kolkata
10013,Employee_9012,46.0,Sales,FEMALE,145805.0,2012,6.2,Chennai
6225,Employee_5224,51.0,Finance,MALE,74905.0,2007,5.7,Pune
9434,Employee_8433,29.0,Marketing,FEMALE,96412.0,2018,10.0,Delhi
9710,Employee_8709,50.0,Marketing,FEMALE,48725.0,2021,6.3,Mumbai
1003,Employee_2,29.0,IT,FEMALE,131477.0,2017,6.8,Bangalore
