transaction_id,product,region,amount,quantity,discount,year,month
8060,phone,North,23865.0,8.0,0.39,2019,9
10844,laptop,South,3009.0,12.0,0.05,2023,10
11437,tablet,,14875.0,13.0,0.15,2021,11
15818,LAPTOP,North,45563.0,12.0,0.48,2020,7
15486,LAPTOP,West,32749.0,15.0,0.45,2022,2
6205,tablet,South,14757.0,5.0,0.44,2018,4
15126,tablet,East,14394.0,17.0,0.44,2021,12
15669,PHONE,West,19366.0,5.0,0.15,2019,1
5283,phone,North,25536.0,1.0,0.24,2019,1
15939,tablet,,15108.0,3.0,0.45,2022,10
16784,phone,North,13290.0,2.0,0.22,2023,11
7793,Phone,East,3863.0,10.0,0.23,2023,1
11394,Tablet,West,24113.0,1.0,0.3,2023,10
14700,Tablet,South,21831.0,3.0,0.13,2021,12
7085,Laptop,West,35769.0,18.0,0.26,2020,4
11486,Laptop,North,35743.0,17.0,0.38,2019,7
16498,Tablet,West,10591.0,8.0,0.26,2023,6
16719,PHONE,South,25038.0,13.0,0.07,2018,2
10668,LAPTOP,Central,42719.0,15.0,0.32,2021,11
11257,phone,East,25558.0,9.0,0.28,2023,11
5069,Phone,East,16356.0,4.0,0.16,2022,10
7420,Tablet,West,38791.0,16.0,0.31,2023,6
11850,phone,North,16973.0,10.0,0.32,2019,12
12804,phone,East,43682.0,7.0,0.03,2020,1
15536,Phone,West,28823.0,17.0,0.44,2019,9
9990,phone,East,49297.0,13.0,0.48,2023,10
12840,Phone,West,45922.0,-5.0,0.23,2023,10
16966,tablet,East,10683.0,5.0,0.34,2023,9
5588,Tablet,East,14653.0,18.0,0.48,2020,6
15045,tablet,West,17349.0,17.0,0.27,2023,5
11967,Tablet,East,11129.0,18.0,0.41,2021,7
7497,Laptop,North,10155.0,11.0,0.39,2020,11
11592,tablet,East,3074.0,8.0,0.39,2023,9
13549,laptop,East,1782.0,8.0,0.26,2018,8
7357,tablet,Central,15945.0,17.0,0.13,2021,5
9296,laptop,East,2096.0,11.0,0.16,2022,10
13084,Laptop,West,25994.0,3.0,0.38,2019,3
9507,laptop,North,1391.0,3.0,0.25,2022,10
10084,LAPTOP,North,22270.0,13.0,0.01,2022,6
14175,Laptop,North,27326.0,8.0,0.34,2023,8
5948,tablet,Central,43785.0,14.0,0.28,2023,3
11081,LAPTOP,East,15997.0,4.0,0.34,2022,2
6915,Phone,South,12602.0,19.0,0.05,2023,7
8749,LAPTOP,Central,12346.0,17.0,0.42,2023,8
16276,laptop,Central,39704.0,15.0,0.3,2020,11
15539,Phone,Central,34943.0,5.0,,2021,3
16837,Laptop,Central,29446.0,16.0,0.06,2023,12
13290,Phone,Central,27599.0,9.0,0.31,2020,10
16508,Laptop,West,4590.0,4.0,0.33,2023,10
12061,LAPTOP,West,27975.0,19.0,0.39,2018,5
15573,Laptop,East,26368.0,2.0,0.45,2020,3
6237,Tablet,West,30223.0,19.0,0.27,2020,1
12926,Laptop,East,10249.0,15.0,0.22,2020,10
9897,tablet,West,26895.0,8.0,0.23,2023,11
15614,Laptop,Central,41389.0,6.0,0.07,2022,3
5856,tablet,North,10204.0,11.0,,2022,1
13156,LAPTOP,North,38715.0,18.0,0.13,2019,3
5416,laptop,South,21040.0,5.0,0.01,2019,11
13650,tablet,,30453.0,17.0,0.49,2023,3
9169,phone,South,19096.0,19.0,0.44,2020,3
6516,LAPTOP,East,27495.0,8.0,0.02,2018,8
12135,Laptop,Central,,11.0,0.14,2021,12
13393,PHONE,Central,19242.0,12.0,0.21,2023,3
6236,Phone,North,47393.0,13.0,0.37,2023,10
8153,Phone,West,43658.0,17.0,0.21,2019,10
8958,PHONE,East,8080.0,6.0,0.43,2020,2
5686,LAPTOP,East,43456.0,-5.0,0.44,2023,2
7717,Laptop,Central,18538.0,10.0,0.03,2018,4
12157,phone,East,33693.0,3.0,0.24,2023,2
12187,PHONE,East,9932.0,11.0,0.05,2023,2
7374,laptop,East,47870.0,1.0,0.25,2018,11
14561,LAPTOP,East,11749.0,17.0,0.05,2020,4
10157,Tablet,North,4835.0,11.0,0.35,2023,10
5693,Laptop,North,34301.0,4.0,0.35,2018,3
11795,Phone,East,20222.0,17.0,0.15,2023,12
13148,LAPTOP,Central,13904.0,18.0,0.15,2023,4
7610,LAPTOP,West,32302.0,6.0,0.18,2021,7
13763,Tablet,West,32606.0,3.0,0.12,2019,8
9287,tablet,South,24173.0,4.0,0.1,2019,4
14547,Phone,East,11715.0,14.0,0.35,2022,9
14285,Laptop,North,4537.0,4.0,0.3,2022,3
14073,phone,Central,29466.0,4.0,0.36,2019,11
5615,PHONE,North,,10.0,0.48,2022,4
13543,Laptop,Central,36676.0,2.0,0.11,2021,1
8120,phone,North,17763.0,4.0,0.36,2023,11
10372,LAPTOP,Central,22147.0,15.0,0.14,2021,5
15884,phone,West,39946.0,12.0,0.0,2021,1
10332,tablet,North,5852.0,10.0,0.12,2019,1
12384,LAPTOP,North,9126.0,-1.0,0.32,2023,11
13630,Laptop,North,32752.0,15.0,0.39,2022,3
5472,Laptop,North,43826.0,4.0,0.13,2018,7
10326,LAPTOP,Central,40489.0,9.0,0.45,2022,5
15087,LAPTOP,North,20277.0,8.0,0.36,2020,11
5720,Laptop,North,29567.0,10.0,0.48,2021,3
13183,Laptop,Central,30637.0,8.0,0.2,2021,4
12551,LAPTOP,North,32012.0,13.0,0.22,2023,1
12466,Phone,South,36313.0,8.0,0.49,2023,10
9683,phone,East,23658.0,10.0,0.17,2019,2
6391,laptop,North,10418.0,15.0,0.25,2023,1
5983,LAPTOP,South,46250.0,2.0,0.33,2018,7
15658,Laptop,East,44514.0,19.0,0.03,2020,4
5844,tablet,North,32079.0,15.0,0.28,2023,8
14044,Laptop,East,14169.0,9.0,0.36,2019,8
11748,LAPTOP,South,39628.0,15.0,0.38,2020,11
8651,laptop,North,13913.0,17.0,0.27,2022,12
12334,LAPTOP,West,37806.0,7.0,0.06,2021,9
11546,PHONE,North,16262.0,12.0,0.24,2021,8
15634,Tablet,North,13944.0,4.0,0.27,2019,7
11611,LAPTOP,East,31934.0,16.0,0.36,2022,10
6527,LAPTOP,East,2416.0,7.0,0.29,2021,5
12474,Phone,South,48631.0,16.0,0.26,2021,12
12609,LAPTOP,West,26188.0,8.0,0.03,2022,2
10278,LAPTOP,East,49778.0,4.0,0.08,2020,3
6994,Laptop,Central,14920.0,17.0,0.4,2018,10
6730,phone,Central,38116.0,15.0,0.17,2018,8
13856,Laptop,East,8771.0,12.0,0.32,2023,12
7708,PHONE,North,29078.0,16.0,0.47,2022,12
12349,PHONE,West,44591.0,8.0,0.45,2018,7
11553,tablet,East,9672.0,13.0,0.48,2018,12
15635,Phone,West,22350.0,7.0,0.15,2020,9
11485,phone,Central,38207.0,3.0,0.03,2020,9
6864,Tablet,Central,30321.0,18.0,0.47,2018,10
7286,phone,South,2537.0,14.0,0.27,2019,6
12719,LAPTOP,South,45860.0,11.0,0.17,2018,7
16403,Tablet,East,17631.0,2.0,0.04,2022,12
9177,phone,North,28805.0,15.0,0.23,2019,1
5131,Tablet,South,32102.0,4.0,0.47,2022,7
15217,Laptop,North,4015.0,13.0,0.0,2023,6
6784,LAPTOP,North,4419.0,1.0,0.43,2022,8
9478,PHONE,West,35284.0,18.0,0.23,2023,7
11859,Laptop,South,44789.0,7.0,0.44,2019,10
15358,PHONE,East,20077.0,11.0,0.24,2023,12
6690,Laptop,East,18437.0,15.0,0.05,2019,12
6439,LAPTOP,East,48343.0,6.0,0.31,2020,4
12086,Laptop,,16055.0,16.0,0.22,2018,10
9441,Tablet,Central,15033.0,18.0,0.29,2021,10
15725,LAPTOP,Central,21227.0,9.0,0.21,2020,4
11110,LAPTOP,Central,5659.0,4.0,0.17,2023,6
16791,LAPTOP,East,36165.0,10.0,0.16,2020,4
11487,Laptop,West,5279.0,7.0,0.11,2023,8
5337,Tablet,West,26485.0,16.0,0.12,2021,6
12069,Tablet,East,21065.0,16.0,0.15,2020,5
5304,tablet,North,46425.0,17.0,0.03,2021,9
9893,phone,North,12356.0,3.0,0.17,2019,8
15542,laptop,West,46001.0,3.0,0.47,2018,12
16128,Phone,South,49693.0,11.0,0.2,2021,11
13162,tablet,South,47643.0,18.0,0.11,2023,8
6752,Laptop,North,12202.0,14.0,0.14,2023,10
12790,laptop,West,9693.0,5.0,,2023,9
15777,tablet,Central,46022.0,9.0,0.2,2019,12
12110,Phone,South,8010.0,2.0,0.37,2019,8
14817,phone,North,47784.0,17.0,0.44,2018,9
11895,Laptop,East,875.0,5.0,,2019,9
14982,Laptop,Central,26047.0,10.0,0.33,2019,9
7336,Laptop,West,15126.0,11.0,0.16,2018,1
7314,Phone,North,37089.0,17.0,0.11,2018,4
14139,phone,South,2571.0,11.0,0.06,2022,12
11155,tablet,Central,32236.0,16.0,0.07,2019,3
10975,Laptop,North,7396.0,19.0,0.31,2021,10
16563,PHONE,West,32647.0,14.0,0.13,2020,7
5758,tablet,Central,28181.0,14.0,0.02,2019,7
16890,PHONE,West,49506.0,17.0,0.15,2018,1
7419,PHONE,South,28719.0,1.0,0.39,2018,12
8721,Phone,Central,2506.0,11.0,0.08,2019,11
16274,tablet,North,18064.0,1.0,0.08,2018,11
12106,tablet,South,22237.0,18.0,0.03,2023,1
15990,Tablet,Central,5795.0,14.0,0.15,2019,11
13033,PHONE,South,33366.0,4.0,0.36,2019,12
14307,phone,West,48269.0,12.0,0.05,2022,10
6215,laptop,West,19029.0,14.0,0.39,2019,1
9420,PHONE,East,47866.0,17.0,0.29,2022,5
6172,phone,East,25269.0,9.0,0.24,2018,12
9271,PHONE,Central,48493.0,500.0,0.11,2023,6
6505,phone,East,31094.0,12.0,0.03,2021,6
14999,Laptop,Central,1991.0,14.0,0.41,2019,11
6687,Laptop,West,25313.0,17.0,0.26,2021,4
14867,PHONE,South,18394.0,6.0,0.11,2022,3
10683,Laptop,East,17035.0,13.0,0.48,2021,1
13699,LAPTOP,Central,35354.0,14.0,0.2,2022,9
10478,PHONE,West,2110.0,5.0,0.07,2020,8
15606,Phone,North,15532.0,9.0,0.14,2023,12
14449,tablet,West,1965.0,17.0,0.35,2022,3
6563,PHONE,South,12921.0,10.0,0.12,2018,2
16073,tablet,East,32528.0,4.0,0.28,2020,2
9497,Phone,Central,1921.0,16.0,0.47,2019,11
6833,phone,South,40579.0,19.0,0.12,2018,6
16858,Phone,South,4083.0,2.0,0.46,2021,2
5449,tablet,South,1107.0,13.0,0.5,2020,9
15971,phone,North,25955.0,1.0,0.0,2023,6
6572,tablet,Central,31002.0,1.0,0.49,2022,2
8952,PHONE,East,10476.0,2.0,0.22,2018,2
10249,tablet,South,18995.0,14.0,0.19,2020,10
14665,Laptop,South,29125.0,9.0,0.2,2022,1
7127,laptop,South,14525.0,8.0,0.01,2022,9
16893,Phone,North,15267.0,14.0,0.4,2023,11
5656,Phone,West,17461.0,4.0,0.27,2022,9
13045,LAPTOP,South,8399.0,7.0,0.42,2019,6
13493,laptop,East,20386.0,16.0,0.26,2018,2
9589,Phone,Central,37816.0,7.0,0.3,2022,5
11180,PHONE,East,34079.0,3.0,0.47,2022,1
